"Dpto","Municipio","Género",2018,2019,2020,2021,2022,2023
"Antioquia","Medellín","AMBOS SEXOS",2427129,2483545,2533424,2573220,2612958,2653729
"Antioquia","Medellín","HOMBRES",1140658,1168926,1193791,1213421,1232847,1252750
"Antioquia","Medellín","MUJERES",1286471,1314619,1339633,1359799,1380111,1400979
"Antioquia","Abejorral","AMBOS SEXOS",20367,20258,20287,20602,20920,21246
"Antioquia","Abejorral","HOMBRES",10534,10510,10558,10744,10937,11134
"Antioquia","Abejorral","MUJERES",9833,9748,9729,9858,9983,10112
"Antioquia","Abriaquí","AMBOS SEXOS",2695,2710,2735,2777,2820,2864
"Antioquia","Abriaquí","HOMBRES",1452,1464,1482,1507,1534,1560
"Antioquia","Abriaquí","MUJERES",1243,1246,1253,1270,1286,1304
"Antioquia","Alejandría","AMBOS SEXOS",4657,4669,4698,4771,4845,4920
"Antioquia","Alejandría","HOMBRES",2320,2324,2338,2374,2410,2448
"Antioquia","Alejandría","MUJERES",2337,2345,2360,2397,2435,2472
"Antioquia","Amagá","AMBOS SEXOS",30227,30777,31283,31768,32259,32762
"Antioquia","Amagá","HOMBRES",14862,15133,15382,15619,15858,16103
"Antioquia","Amagá","MUJERES",15365,15644,15901,16149,16401,16659
"Antioquia","Amalfi","AMBOS SEXOS",25962,26552,27071,27496,27921,28357
"Antioquia","Amalfi","HOMBRES",13028,13318,13573,13772,13977,14187
"Antioquia","Amalfi","MUJERES",12934,13234,13498,13724,13944,14170
"Antioquia","Andes","AMBOS SEXOS",43269,43713,44199,44885,45577,46289
"Antioquia","Andes","HOMBRES",22342,22614,22904,23293,23680,24074
"Antioquia","Andes","MUJERES",20927,21099,21295,21592,21897,22215
"Antioquia","Angelópolis","AMBOS SEXOS",5756,5790,5841,5932,6023,6117
"Antioquia","Angelópolis","HOMBRES",2884,2905,2936,2987,3041,3093
"Antioquia","Angelópolis","MUJERES",2872,2885,2905,2945,2982,3024
"Antioquia","Angostura","AMBOS SEXOS",11437,11462,11536,11715,11896,12081
"Antioquia","Angostura","HOMBRES",5762,5784,5830,5925,6023,6123
"Antioquia","Angostura","MUJERES",5675,5678,5706,5790,5873,5958
"Antioquia","Anorí","AMBOS SEXOS",18321,18737,19104,19404,19704,20011
"Antioquia","Anorí","HOMBRES",9513,9762,9992,10182,10377,10578
"Antioquia","Anorí","MUJERES",8808,8975,9112,9222,9327,9433
"Antioquia","Santafé de Antioquia","AMBOS SEXOS",26164,26598,27002,27421,27844,28279
"Antioquia","Santafé de Antioquia","HOMBRES",13005,13212,13404,13601,13802,14011
"Antioquia","Santafé de Antioquia","MUJERES",13159,13386,13598,13820,14042,14268
"Antioquia","Anza","AMBOS SEXOS",7010,7085,7169,7280,7393,7508
"Antioquia","Anza","HOMBRES",3603,3648,3699,3764,3830,3899
"Antioquia","Anza","MUJERES",3407,3437,3470,3516,3563,3609
"Antioquia","Apartadó","AMBOS SEXOS",121003,124647,127744,129751,131754,133811
"Antioquia","Apartadó","HOMBRES",59413,61085,62470,63350,64228,65139
"Antioquia","Apartadó","MUJERES",61590,63562,65274,66401,67526,68672
"Antioquia","Arboletes","AMBOS SEXOS",29295,29942,30510,30984,31462,31953
"Antioquia","Arboletes","HOMBRES",14676,14997,15278,15494,15716,15947
"Antioquia","Arboletes","MUJERES",14619,14945,15232,15490,15746,16006
"Antioquia","Argelia","AMBOS SEXOS",7689,7577,7545,7662,7780,7902
"Antioquia","Argelia","HOMBRES",3958,3901,3886,3945,4007,4069
"Antioquia","Argelia","MUJERES",3731,3676,3659,3717,3773,3833
"Antioquia","Armenia","AMBOS SEXOS",5139,5085,5074,5153,5232,5314
"Antioquia","Armenia","HOMBRES",2561,2534,2528,2567,2606,2646
"Antioquia","Armenia","MUJERES",2578,2551,2546,2586,2626,2668
"Antioquia","Barbosa","AMBOS SEXOS",51969,53242,54347,55201,56053,56928
"Antioquia","Barbosa","HOMBRES",25758,26420,26997,27430,27864,28310
"Antioquia","Barbosa","MUJERES",26211,26822,27350,27771,28189,28618
"Antioquia","Belmira","AMBOS SEXOS",6000,6054,6116,6211,6307,6405
"Antioquia","Belmira","HOMBRES",3028,3055,3087,3135,3182,3232
"Antioquia","Belmira","MUJERES",2972,2999,3029,3076,3125,3173
"Antioquia","Bello","AMBOS SEXOS",522264,538527,552154,560831,569488,578376
"Antioquia","Bello","HOMBRES",251339,259448,266213,270567,274868,279276
"Antioquia","Bello","MUJERES",270925,279079,285941,290264,294620,299100
"Antioquia","Betania","AMBOS SEXOS",10323,10274,10284,10444,10605,10770
"Antioquia","Betania","HOMBRES",5368,5338,5340,5416,5492,5572
"Antioquia","Betania","MUJERES",4955,4936,4944,5028,5113,5198
"Antioquia","Betulia","AMBOS SEXOS",15607,15736,15896,16143,16392,16648
"Antioquia","Betulia","HOMBRES",7955,8032,8126,8254,8385,8519
"Antioquia","Betulia","MUJERES",7652,7704,7770,7889,8007,8129
"Antioquia","Ciudad Bolívar","AMBOS SEXOS",26118,26160,26313,26721,27134,27557
"Antioquia","Ciudad Bolívar","HOMBRES",13040,13068,13152,13363,13576,13795
"Antioquia","Ciudad Bolívar","MUJERES",13078,13092,13161,13358,13558,13762
"Antioquia","Briceño","AMBOS SEXOS",8039,8065,8120,8246,8373,8504
"Antioquia","Briceño","HOMBRES",4183,4206,4244,4312,4382,4454
"Antioquia","Briceño","MUJERES",3856,3859,3876,3934,3991,4050
"Antioquia","Buriticá","AMBOS SEXOS",9354,9502,9634,9783,9934,10089
"Antioquia","Buriticá","HOMBRES",4854,4937,5015,5096,5177,5261
"Antioquia","Buriticá","MUJERES",4500,4565,4619,4687,4757,4828
"Antioquia","Cáceres","AMBOS SEXOS",28996,29716,30356,30833,31309,31798
"Antioquia","Cáceres","HOMBRES",15008,15432,15809,16084,16354,16629
"Antioquia","Cáceres","MUJERES",13988,14284,14547,14749,14955,15169
"Antioquia","Caicedo","AMBOS SEXOS",8297,8420,8536,8668,8802,8940
"Antioquia","Caicedo","HOMBRES",4154,4216,4274,4332,4394,4459
